BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
ERLE1S;LP;LPPR;RW17;MTL;RW17;{{N41162279,W008411619},{N40413411,W008461910},{N39542789,W008530075}}
ERLE3L;LP;LPPR;RW35;ERLEX;RW35;{{N41252733,W008433916},{N41172497,W008493925},{N41033097,W008455839},{N40413411,W008461910}}
ERLE3R;LP;LPPR;RW35;ERLEX;RW35;{{N41252733,W008433916},{N41194473,W008340199},{N41055074,W008302443},{N40413411,W008461910}}
GANB1N;LP;LPPR;RW35;GANBA;RW35;{{N41162279,W009034503}}
GANB1S;LP;LPPR;RW17;GANBA;RW17;{{N41162279,W009034503}}
IBER1N;LP;LPPR;RW35;IBERO;RW35;{{N41204420,W007551123}}
IBER1S;LP;LPPR;RW17;IBERO;RW17;{{N41204420,W007551123}}
LULA1N;LP;LPPR;RW35;LULAS;RW35;{{N40535943,W009165167}}
LULA1S;LP;LPPR;RW17;LULAS;RW17;{{N40535943,W009165167}}
MANI1N;LP;LPPR;RW35;MANIK;RW35;{{N41205334,W008422934},{N40413065,W008365821}}
MANI1S;LP;LPPR;RW17;MANIK;RW17;{{N40413065,W008365821}}
MANI3L;LP;LPPR;RW35;MANIK;RW35;{{N41252733,W008433916},{N41172497,W008493925},{N41033097,W008455839},{N40413065,W008365821}}
MANI3R;LP;LPPR;RW35;MANIK;RW35;{{N41252733,W008433916},{N41194473,W008340199},{N41055074,W008302443},{N40413065,W008365821}}
PESU1N;LP;LPPR;RW35;PESUL;RW35;{{N40525532,W008065437}}
PESU1S;LP;LPPR;RW17;PESUL;RW17;{{N40525532,W008065437}}
TURO1N;LP;LPPR;RW35;TURON;RW35;{{N42040453,W008334830}}
TURO1S;LP;LPPR;RW17;TURON;RW17;{{N41044112,W008381155},{N42040453,W008334830}}
TURO3L;LP;LPPR;RW17;TURON;RW17;{{N41044112,W008381155},{N41121486,W008320497},{N42040453,W008334830}}
TURO3R;LP;LPPR;RW17;TURON;RW17;{{N41044112,W008381155},{N41095509,W008474045},{N41241718,W008512848},{N42040453,W008334830}}
FUNO3G;LP;LPPS;RW01;FUNOR;RW01;{{N32520124,W016380795}}
FUNO3H;LP;LPPS;RW19;FUNOR;RW19;{{N32520124,W016380795}}
LIDR3G;LP;LPPS;RW01;LIDRO;RW01;{{N33400264,W015565855}}
LIDR3H;LP;LPPS;RW19;LIDRO;RW19;{{N33400264,W015565855}}
MADA3E;LP;LPPS;RW01;MADAT;RW01;{{N33052548,W016210228},{N33052548,W016210228},{N33052548,W016210228},{N32094273,W017050680}}
MADA3F;LP;LPPS;RW19;MADAT;RW19;{{N32492377,W016204008},{N33052548,W016210228},{N32094273,W017050680}}
MADA3G;LP;LPPS;RW01;MADAT;RW01;{{N33052548,W016210228},{N32094273,W017050680}}
MADA3H;LP;LPPS;RW19;MADAT;RW19;{{N33052548,W016210228},{N32094273,W017050680}}
NIKA3F;LP;LPPS;RW19;NIKAV;RW19;{{N33052548,W016210228},{N33205469,W016522458}}
NIKA3G;LP;LPPS;RW01;NIKAV;RW01;{{N33052548,W016210228},{N33052548,W016210228},{N33205469,W016522458}}
NIKA3H;LP;LPPS;RW19;NIKAV;RW19;{{N32572480,W016204365},{N33205469,W016522458}}
RAKU3G;LP;LPPS;RW01;RAKUN;RW01;{{N33332501,W015465255}}
