BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
GAML1L;LO;LOWL;RW27;GAMLI;RW27;{{N48011240,E014345612},{N47542400,E014464400}}
GAML2T;LO;LOWL;RW09;GAMLI;RW09;{{N48141356,E014191842},{N48011240,E014345612},{N47542400,E014464400}}
GRZ2L;LO;LOWL;RW27;GRZ;RW27;{{N48045275,E014155026},{N47543953,E014265202},{N47452347,E014364199},{N46571932,E015265795}}
GRZ2T;LO;LOWL;RW09;GRZ;RW09;{{N48045275,E014155026},{N47543953,E014265202},{N47452347,E014364199},{N46571932,E015265795}}
PABS1T;LO;LOWL;RW09;PABSA;RW09;{{N48265541,E013500312},{N48314177,E013441730}}
PABS2L;LO;LOWL;RW27;PABSA;RW27;{{N48134689,E014061195},{N48265541,E013500312},{N48314177,E013441730}}
SBG2L;LO;LOWL;RW27;SBG;RW27;{{N48134689,E014061195},{N48132708,E013451598},{N48000930,E012533394}}
SBG2T;LO;LOWL;RW09;SBG;RW09;{{N48134689,E014061195},{N48132708,E013451598},{N48000930,E012533394}}
STO1L;LO;LOWL;RW27;STO;RW27;{{N48171140,E014401418},{N48250169,E016010694}}
STO1T;LO;LOWL;RW09;STO;RW09;{{N48141356,E014191842},{N48171140,E014401418},{N48250169,E016010694}}
SUBE1L;LO;LOWL;RW27;SUBEN;RW27;{{N48134689,E014061195},{N48201913,E013424232},{N48261136,E013201242}}
SUBE1T;LO;LOWL;RW09;SUBEN;RW09;{{N48201913,E013424232},{N48261136,E013201242}}
FRE1P;LO;LOWS;RW16;FRE;OES20;{{N47455886,E013011538},{N47500704,E013003631},{N47590386,E013124893},{N48135450,E013331364},{N48255441,E014074739}}
FRE1S;LO;LOWS;RW34;FRE;D12;{{N47484746,E012592930},{N47590386,E013124893},{N48135450,E013331364},{N48255441,E014074739}}
FRE1V;LO;LOWS;RW16;FRE;RW16;{{N47493600,E013030000},{N47590386,E013124893},{N48135450,E013331364},{N48255441,E014074739}}
LIM3P;LO;LOWS;RW16;LIMRA;OES20;{{N47455886,E013011538},{N47500704,E013003631},{N47590386,E013124893},{N47570962,E013375968},{N47543953,E014265202}}
LIM4S;LO;LOWS;RW34;LIMRA;RW34;{{N47484746,E012592930},{N47590386,E013124893},{N47570962,E013375968},{N47543953,E014265202}}
LIM4V;LO;LOWS;RW16;LIMRA;SI01;{{N47493600,E013030000},{N47590386,E013124893},{N47570962,E013375968},{N47543953,E014265202}}
LNZ2P;LO;LOWS;RW16;LNZ;OES20;{{N47455886,E013011538},{N47500704,E013003631},{N47590386,E013124893},{N48134689,E014061195}}
LNZ3S;LO;LOWS;RW34;LNZ;RW34;{{N47484746,E012592930},{N47590386,E013124893},{N48134689,E014061195}}
LNZ3V;LO;LOWS;RW16;LNZ;SI01;{{N47493600,E013030000},{N47590386,E013124893},{N48134689,E014061195}}
NAPS3P;LO;LOWS;RW16;NAPSA;OES20;{{N47455886,E013011538},{N47490700,E012591568},{N47553786,E012430650},{N48033200,E012333400},{N48090768,E012264633},{N48111335,E012201966}}
NAPS3S;LO;LOWS;RW34;NAPSA;RW34;{{N47484746,E012592930},{N47490700,E012591568},{N47553786,E012430650},{N48033200,E012333400},{N48090768,E012264633},{N48111335,E012201966}}
NAPS3V;LO;LOWS;RW16;NAPSA;SI;{{N47490700,E012591568},{N47553786,E012430650},{N48033200,E012333400},{N48090768,E012264633},{N48111335,E012201966}}
RAS3P;LO;LOWS;RW16;RASTA;OES20;{{N47455886,E013011538},{N47490700,E012591568},{N47511130,E012532414},{N47561019,E012532958},{N47500231,E013030881},{N47432467,E013094724},{N47382230,E013143753},{N47294354,E013225292}}
RAS4S;LO;LOWS;RW34;RASTA;RW34;{{N47484746,E012592930},{N47511130,E012532414},{N47561019,E012532958},{N48000930,E012533394},{N47500231,E013030881},{N47432467,E013094724},{N47382230,E013143753},{N47294354,E013225292}}
RAS5V;LO;LOWS;RW16;RASTA;SI;{{N47490700,E012591568},{N47511130,E012532414},{N47561019,E012532958},{N47500231,E013030881},{N47432467,E013094724},{N47382230,E013143753},{N47294354,E013225292}}
RTT1P;LO;LOWS;RW16;RTT;OES20;{{N47455886,E013011538},{N47490700,E012591568},{N47545786,E012444106},{N47521505,E012401051},{N47473769,E012322372},{N47414032,E012222561},{N47255132,E011562419}}
RTT2S;LO;LOWS;RW34;RTT;RW34;{{N47484746,E012592930},{N47545786,E012444106},{N47521505,E012401051},{N47473769,E012322372},{N47414032,E012222561},{N47255132,E011562419}}
RTT3V;LO;LOWS;RW16;RTT;SI;{{N47490700,E012591568},{N47545786,E012444106},{N47521505,E012401051},{N47473769,E012322372},{N47414032,E012222561},{N47255132,E011562419}}
SBG1P;LO;LOWS;RW16;SBG;OES20;{{N47455886,E013011538},{N47490700,E012591568},{N47511130,E012532414},{N48000930,E012533394}}
SBG2V;LO;LOWS;RW16;SBG;SI01;{{N47493600,E013030000},{N48000930,E012533394}}
SBG2X;LO;LOWS;RW34;SBG;RW34;{{N47484746,E012592930},{N47511130,E012532414},{N48000930,E012533394}}
SIMB2P;LO;LOWS;RW16;SIMBA;OES20;{{N47455886,E013011538},{N47500704,E013003631},{N47570000,E013093000},{N48134855,E013005694}}
SIMB2S;LO;LOWS;RW34;SIMBA;RW34;{{N47484746,E012592930},{N47570000,E013093000},{N48134855,E013005694}}
SIMB2V;LO;LOWS;RW16;SIMBA;SI01;{{N47493600,E013030000},{N47570000,E013093000},{N48134855,E013005694}}
TRA2P;LO;LOWS;RW16;TRAUN;OES20;{{N47455886,E013011538},{N47490700,E012591568},{N47545786,E012444106},{N47582900,E012351500}}
TRA4S;LO;LOWS;RW34;TRAUN;RW34;{{N47484746,E012592930},{N47582900,E012351500}}
TRA5V;LO;LOWS;RW16;TRAUN;SI;{{N47490700,E012591568},{N47582900,E012351500}}
ABET2A;LO;LOWW;RW11;ABETI;WW100;{{N48052334,E016380097},{N48040905,E016414624},{N47403977,E017004623}}
ABET2B;LO;LOWW;RW16;ABETI;WW124;{{N48040168,E016360041},{N47403977,E017004623}}
ABET2C;LO;LOWW;RW29;ABETI;RW29;{{N48043683,E016281964},{N47540533,E016301439},{N47403977,E017004623}}
ABET2D;LO;LOWW;RW34;ABETI;WW304;{{N48080873,E016341669},{N48065726,E016525313},{N47403977,E017004623}}
ABLO2A;LO;LOWW;RW11;ABLOM;WW100;{{N48052334,E016380097},{N48040300,E017051600}}
ABLO2B;LO;LOWW;RW16;ABLOM;WW124;{{N48040168,E016360041},{N47592689,E016405389},{N48040300,E017051600}}
ABLO2C;LO;LOWW;RW29;ABLOM;RW29;{{N48043683,E016281964},{N47555838,E016295704},{N48040300,E017051600}}
ABLO2D;LO;LOWW;RW34;ABLOM;WW304;{{N48080873,E016341669},{N48065726,E016525313},{N48040300,E017051600}}
LUGI2A;LO;LOWW;RW11;LUGIN;WW100;{{N48052334,E016380097},{N48012895,E016364619},{N48043087,E016160862},{N48073600,E015370470},{N48075241,E015191181}}
LUGI2B;LO;LOWW;RW16;LUGIN;WW124;{{N48040168,E016360041},{N48012653,E016325671},{N48054795,E016123086},{N48073600,E015370470},{N48075241,E015191181}}
LUGI2D;LO;LOWW;RW34;LUGIN;WW304;{{N48080873,E016341669},{N48065588,E016282672},{N48052351,E016200383},{N48073600,E015370470},{N48075241,E015191181}}
LUGI3C;LO;LOWW;RW29;LUGIN;RW29;{{N48065588,E016282672},{N48052351,E016200383},{N48054795,E016123086},{N48073600,E015370470},{N48075241,E015191181}}
MEDI2A;LO;LOWW;RW11;MEDIX;WW100;{{N48052334,E016380097},{N48012895,E016364619},{N48070518,E016163882},{N48140241,E015375068},{N48172797,E014414087}}
MEDI2B;LO;LOWW;RW16;MEDIX;WW124;{{N48040168,E016360041},{N48012653,E016325671},{N48091074,E016094812},{N48140241,E015375068},{N48172797,E014414087}}
MEDI2D;LO;LOWW;RW34;MEDIX;WW304;{{N48080873,E016341669},{N48065588,E016282672},{N48091627,E016115938},{N48140241,E015375068},{N48172797,E014414087}}
MEDI3C;LO;LOWW;RW29;MEDIX;RW29;{{N48065588,E016282672},{N48052351,E016200383},{N48054795,E016123086},{N48140241,E015375068},{N48172797,E014414087}}
MIKO2A;LO;LOWW;RW11;MIKOV;WW151;{{N48060314,E016355986},{N48172367,E016393780},{N48470508,E016371561}}
MIKO2B;LO;LOWW;RW16;MIKOV;WW166;{{N48011934,E016371002},{N48034652,E016430029},{N48113386,E016471524},{N48470508,E016371561}}
MIKO2C;LO;LOWW;RW29;MIKOV;RW29;{{N48071307,E016322685},{N48123476,E016322478},{N48192610,E016292691},{N48470508,E016371561}}
MIKO2D;LO;LOWW;RW34;MIKOV;WW304;{{N48080873,E016341669},{N48192610,E016292691},{N48470508,E016371561}}
PUBE2A;LO;LOWW;RW11;PUBEG;WW100;{{N48052334,E016380097},{N48012895,E016364619},{N47525583,E016001484},{N47445852,E015525230},{N47304048,E015394318}}
PUBE2B;LO;LOWW;RW16;PUBEG;WW124;{{N48040168,E016360041},{N48012653,E016325671},{N47525583,E016001484},{N47445852,E015525230},{N47304048,E015394318}}
PUBE2C;LO;LOWW;RW29;PUBEG;RW29;{{N48043683,E016281964},{N47561050,E016191834},{N47525583,E016001484},{N47445852,E015525230},{N47304048,E015394318}}
PUBE2D;LO;LOWW;RW34;PUBEG;WW304;{{N48080873,E016341669},{N48043683,E016281964},{N47572144,E016193851},{N47525583,E016001484},{N47445852,E015525230},{N47304048,E015394318}}
SITN1X;LO;LOWW;RW29;SITNI;RW29;{{N48043683,E016281964},{N48010482,E016175527},{N48013020,E015362132},{N48015707,E015135916},{N48031522,E014500461}}
SITN2A;LO;LOWW;RW11;SITNI;WW100;{{N48052334,E016380097},{N48012895,E016364619},{N48013914,E016142820},{N48013020,E015362132},{N48015707,E015135916},{N48031522,E014500461}}
SITN2B;LO;LOWW;RW16;SITNI;WW124;{{N48040168,E016360041},{N48012653,E016325671},{N48013917,E016142719},{N48013020,E015362132},{N48015707,E015135916},{N48031522,E014500461}}
SITN2D;LO;LOWW;RW34;SITNI;WW304;{{N48080873,E016341669},{N48054682,E016271462},{N48023395,E016175884},{N48013020,E015362132},{N48015707,E015135916},{N48031522,E014500461}}
SITN3C;LO;LOWW;RW29;SITNI;RW29;{{N48054682,E016271462},{N48010482,E016175527},{N48013020,E015362132},{N48015707,E015135916},{N48031522,E014500461}}
SNU2A;LO;LOWW;RW11;SNU;WW100;{{N48052334,E016380097},{N48030072,E016451306},{N47543964,E016343539},{N47522955,E016171837}}
LUPI2P;LU;LUKK;RW26;LUPIP;THR44;{{N46553100,E028480400}}
SNU2B;LO;LOWW;RW16;SNU;WW124;{{N48040168,E016360041},{N47592689,E016405389},{N47522955,E016171837}}
SNU2C;LO;LOWW;RW29;SNU;RW29;{{N48043683,E016281964},{N47522955,E016171837}}
SNU2D;LO;LOWW;RW34;SNU;WW304;{{N48080873,E016341669},{N48043683,E016281964},{N47522955,E016171837}}
STO3C;LO;LOWW;RW29;STO;RW29;{{N48065588,E016282672},{N48091627,E016115938},{N48250169,E016010694}}
WGM1A;LO;LOWW;RW11;WGM;WW151;{{N48060314,E016355986},{N48172367,E016393780},{N48192610,E016292691}}
WGM5B;LO;LOWW;RW16;WGM;WW166;{{N48011934,E016371002},{N48034652,E016430029},{N48113386,E016471524},{N48192610,E016292691}}
WGM5C;LO;LOWW;RW29;WGM;RW29;{{N48071307,E016322685},{N48123476,E016322478},{N48192610,E016292691}}
WGM5D;LO;LOWW;RW34;WGM;WW304;{{N48080873,E016341669},{N48192610,E016292691}}
BEKU1N;LP;LPAZ;RW36;BEKUN;RW36;{{N36594812,W025103186},{N36594812,W025103186},{N36574646,W025095901},{N37565377,W023140464}}
BEKU1S;LP;LPAZ;RW18;BEKUN;RW18;{{N36574646,W025095901},{N37565377,W023140464}}
BEKU1T;LP;LPAZ;RW18;BEKUN;RW18;{{N36574646,W025095901},{N37565377,W023140464}}
DOKA1N;LP;LPAZ;RW36;DOKAS;RW36;{{N36594812,W025103186},{N36594812,W025103186},{N36574646,W025095901},{N37135660,W023215186}}
DOKA1P;LP;LPAZ;RW36;DOKAS;RW36;{{N36574646,W025095901},{N37135660,W023215186}}
DOKA1S;LP;LPAZ;RW18;DOKAS;RW18;{{N36574646,W025095901},{N37135660,W023215186}}
DOKA1T;LP;LPAZ;RW18;DOKAS;RW18;{{N36574646,W025095901},{N37135660,W023215186}}
ETRO1N;LP;LPAZ;RW36;ETROX;RW36;{{N36574646,W025095901},{N36240922,W024012849}}
ETRO1S;LP;LPAZ;RW18;ETROX;RW18;{{N36574646,W025095901},{N36240922,W024012849}}
GINS1N;LP;LPAZ;RW36;GINSU;RW36;{{N36594812,W025103186},{N36574646,W025095901},{N36173269,W027385175}}
GINS1S;LP;LPAZ;RW18;GINSU;RW18;{{N36574646,W025095901},{N36173269,W027385175}}
GOMO1N;LP;LPAZ;RW36;GOMOS;RW36;{{N36594812,W025103186},{N36574646,W025095901},{N37004838,W030032597}}
